,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
1482435,nm10604681,Stuart DaCosta,\N,\N,"composer,producer,music_department","tt2395469,tt15210538,tt10230436,tt12775836"
1483227,nm1060557,Mike Shinoda,1977,\N,"actor,music_department,producer","tt0418279,tt1899353,tt0430357,tt2333784"
1486469,nm1060902,Gareth Unwin,\N,\N,"producer,assistant_director,production_manager","tt1504320,tt1258197,tt3622120,tt2131698"
1486754,nm1060931,Hitoshi Yamaguchi,\N,\N,"cinematographer,camera_department,visual_effects","tt0107692,tt0216651,tt0388473,tt0293416"
1487494,nm1061006,Yukiko Itô,\N,\N,"editor,editorial_department","tt0107692,tt0216651,tt0091309,tt0382008"
1492585,nm10615298,Derek Hersey,1956,1993,archive_footage,"tt0483985,tt23846376"
1493690,nm10616521,Harsh Beniwal,1996,\N,"actor,director,writer","tt28362963,tt15295490,tt14887068,tt7255568"
1495512,nm1061848,Charles Bishop,\N,\N,"producer,writer,production_manager","tt15201944,tt0310793,tt1517084,tt1492220"
1497687,nm1062080,Saket Chaudhary,\N,\N,"writer,director","tt5764096,tt0480572,tt3302962,tt0249371"
1507057,nm1063072,Abbas Tyrewala,1984,\N,"music_department,writer,director","tt0473367,tt0374887,tt12844910,tt0347473"
